geographicDescription,northBoundingCoordinate,southBoundingCoordinate,eastBoundingCoordinate,westBoundingCoordinate,minimumAltitude,maximumAltitude,altitudeUnits
"Site number 22, Stream SF Cedar, Description xs2",47.29676680,47.29676680,-121.50630538,-121.50630538,,,
"Site number 22, Stream SF Cedar, Description xs3",47.29627611,47.29627611,-121.50557673,-121.50557673,,,
"Site number 23, Stream Williams, Description bou",47.40468375,47.40468375,-121.85736861,-121.85736861,,,
"Site number 23, Stream Williams, Description tou",47.40560272,47.40560272,-121.85914993,-121.85914993,,,
"Site number 23, Stream Williams, Description xs1",47.40503330,47.40503330,-121.85764878,-121.85764878,,,
"Site number 23, Stream Williams, Description xs2",47.40523854,47.40523854,-121.85812493,-121.85812493,,,
"Site number 23, Stream Williams, Description xs3",47.40539563,47.40539563,-121.85875625,-121.85875625,,,
"Site number 24, Stream Steele, Description bou",47.42329044,47.42329044,-121.82391608,-121.82391608,,,
"Site number 24, Stream Steele, Description tou",47.42402400,47.42402400,-121.82486248,-121.82486248,,,
"Site number 24, Stream Steele, Description xs1",47.42348703,47.42348703,-121.82413245,-121.82413245,,,
"Site number 25, Stream NF Taylor, Description bou",47.36971789,47.36971789,-121.80796963,-121.80796963,,,
"Site number 25, Stream NF Taylor, Description tou",47.37111232,47.37111232,-121.80665361,-121.80665361,,,
"Site number 25, Stream NF Taylor, Description xs1",47.37019689,47.37019689,-121.80750669,-121.80750669,,,
"Site number 25, Stream NF Taylor, Description xs2",47.37050823,47.37050823,-121.80729198,-121.80729198,,,
"Site number 25, Stream NF Taylor, Description xs3",47.37083615,47.37083615,-121.80682930,-121.80682930,,,
